CustID,Gender,AgeGroup,Purchase_Last_Quarter,Unique_Products_Purchased,Response_to_Campaign
102271,Male,>50,Yes,6,No
102272,Female,>50,No,6,No
102273,Male,>50,No,2,No
102274,Male,<30,Yes,9,Yes
102275,Male,<30,No,6,Yes
102276,Female,30-50,Yes,9,No
102277,Male,30-50,Yes,15,Yes
102278,Female,<30,No,1,No
102279,Male,<30,No,4,Yes
102280,Female,30-50,No,7,No
102281,Male,<30,Yes,7,No
102282,Male,30-50,No,4,No
102283,Male,30-50,No,2,No
102284,Male,30-50,Yes,11,No
102285,Female,30-50,Yes,7,Yes
102286,Female,<30,Yes,8,Yes
102287,Female,30-50,Yes,6,No
102288,Female,>50,Yes,13,Yes
102289,Female,30-50,Yes,10,Yes
102290,Female,30-50,Yes,6,Yes
102291,Female,30-50,No,3,No
102292,Male,30-50,Yes,12,Yes
102293,Female,<30,Yes,9,Yes
102294,Male,<30,Yes,7,No
102295,Male,30-50,No,7,Yes
102296,Female,30-50,No,2,Yes
102297,Female,>50,No,6,No
102298,Female,30-50,No,3,No
102299,Female,>50,Yes,15,No
102300,Male,30-50,No,1,No
102301,Male,<30,No,5,No
102302,Female,30-50,Yes,12,No
102303,Female,<30,Yes,15,Yes
102304,Male,30-50,Yes,15,No
102305,Female,30-50,No,5,Yes
102306,Female,<30,Yes,12,Yes
102307,Female,30-50,No,6,Yes
102308,Female,30-50,Yes,6,Yes
102309,Female,30-50,Yes,13,Yes
102310,Male,30-50,No,4,No
102311,Male,>50,Yes,6,No
102312,Female,>50,No,1,No
102313,Female,30-50,No,3,Yes
102314,Male,>50,No,5,No
102315,Female,<30,Yes,13,Yes
102316,Female,>50,Yes,13,Yes
102317,Female,<30,Yes,11,Yes
102318,Female,>50,No,6,No
102319,Female,30-50,Yes,12,Yes
102320,Male,30-50,No,3,No
102321,Female,30-50,Yes,7,Yes
102322,Male,30-50,Yes,12,Yes
102323,Female,>50,Yes,10,Yes
102324,Female,<30,Yes,9,Yes
102325,Male,<30,Yes,15,Yes
102326,Female,<30,Yes,12,No
102327,Female,<30,Yes,12,No
102328,Male,>50,No,2,No
102329,Female,30-50,Yes,10,Yes
102330,Female,30-50,Yes,7,No
102331,Male,30-50,Yes,9,Yes
102332,Male,>50,Yes,13,Yes
102333,Male,<30,No,3,No
102334,Female,30-50,No,3,No
102335,Male,>50,Yes,15,No
102336,Male,<30,Yes,12,No
102337,Female,30-50,No,2,No
102338,Male,>50,Yes,7,No
102339,Male,>50,No,6,No
102340,Female,>50,Yes,5,No
102341,Male,>50,Yes,15,No
102342,Female,>50,No,4,No
102343,Female,30-50,No,4,No
102344,Female,>50,Yes,5,No
102345,Female,30-50,Yes,10,No
102346,Male,30-50,Yes,7,Yes
102347,Male,30-50,Yes,14,Yes
102348,Male,30-50,Yes,6,No
102349,Female,<30,No,6,No
102350,Male,30-50,No,5,Yes
102351,Female,>50,Yes,8,Yes
102352,Female,>50,No,4,No
102353,Female,<30,Yes,9,Yes
102354,Female,<30,Yes,13,Yes
102355,Male,30-50,No,6,Yes
102356,Female,<30,Yes,5,No
102357,Female,30-50,No,7,No
102358,Female,>50,No,6,No
102359,Female,>50,Yes,10,Yes
102360,Male,<30,Yes,8,No
102361,Male,30-50,Yes,8,No
102362,Male,30-50,Yes,12,Yes
102363,Male,30-50,No,4,No
102364,Female,30-50,Yes,6,No
102365,Male,<30,No,3,No
102366,Female,>50,No,4,No
102367,Female,>50,Yes,14,No
102368,Male,>50,Yes,9,No
102369,Female,30-50,Yes,9,No
102370,Female,30-50,No,7,No
102371,Male,>50,Yes,7,No
102372,Female,30-50,No,5,Yes
102373,Male,<30,Yes,10,No
102374,Male,>50,Yes,10,Yes
102375,Female,30-50,Yes,8,No
102376,Male,>50,No,2,No
102377,Female,30-50,No,6,No
102378,Male,<30,Yes,13,No
102379,Female,30-50,Yes,8,Yes
102380,Female,30-50,Yes,10,Yes
102381,Female,30-50,No,7,Yes
102382,Female,>50,No,1,No
102383,Female,30-50,Yes,12,Yes
102384,Female,30-50,Yes,10,No
102385,Male,30-50,Yes,11,Yes
102386,Female,<30,Yes,8,No
102387,Female,>50,Yes,11,No
102388,Female,>50,Yes,13,Yes
102389,Female,30-50,No,7,Yes
102390,Male,30-50,No,3,No
102391,Male,30-50,Yes,11,Yes
102392,Female,30-50,Yes,15,Yes
102393,Male,30-50,No,4,No
102394,Female,<30,No,6,Yes
102395,Female,<30,Yes,6,No
102396,Male,<30,No,5,No
102397,Male,>50,No,5,No
102398,Male,<30,No,6,No
102399,Male,<30,No,7,No
102400,Female,<30,Yes,5,No
102401,Female,30-50,No,1,No
102402,Female,30-50,Yes,11,No
102403,Male,30-50,No,7,No
102404,Male,30-50,No,6,Yes
102405,Male,30-50,No,2,No
102406,Male,<30,No,3,No
102407,Female,>50,Yes,15,No
102408,Male,30-50,Yes,12,No
102409,Female,<30,Yes,14,Yes
102410,Male,>50,No,3,No
102411,Female,30-50,Yes,7,Yes
102412,Male,>50,No,4,No
102413,Male,30-50,No,3,No
102414,Female,<30,Yes,7,Yes
102415,Male,30-50,No,3,No
102416,Male,30-50,Yes,15,No
102417,Male,<30,No,4,No
102418,Male,<30,Yes,7,Yes
102419,Male,>50,Yes,6,No
102420,Female,30-50,Yes,10,No
102421,Female,>50,Yes,11,No
102422,Male,30-50,Yes,8,Yes
102423,Male,30-50,Yes,12,No
102424,Male,<30,Yes,8,Yes
102425,Male,<30,Yes,15,Yes
102426,Female,30-50,Yes,6,No
102427,Male,30-50,No,5,No
102428,Female,>50,Yes,6,No
102429,Male,30-50,Yes,14,No
102430,Female,30-50,Yes,7,No
102431,Female,<30,Yes,14,Yes
102432,Female,30-50,Yes,5,Yes
102433,Female,<30,Yes,5,No
102434,Male,30-50,Yes,7,No
102435,Female,<30,Yes,10,No
102436,Male,<30,Yes,9,No
102437,Female,30-50,Yes,6,No
102438,Female,30-50,Yes,13,No
102439,Female,>50,Yes,13,No
102440,Male,30-50,Yes,8,Yes
102441,Female,>50,Yes,6,Yes
102442,Female,30-50,Yes,12,Yes
102443,Male,<30,No,5,No
102444,Male,30-50,Yes,14,No
102445,Female,30-50,Yes,13,Yes
102446,Male,30-50,No,4,No
102447,Female,<30,Yes,9,No
102448,Female,>50,No,4,No
102449,Male,30-50,No,6,Yes
102450,Female,30-50,No,3,No
102451,Female,>50,Yes,11,No
102452,Male,<30,Yes,5,No
102453,Female,>50,Yes,14,No
102454,Male,>50,Yes,6,No
102455,Female,30-50,Yes,12,Yes
102456,Male,30-50,Yes,8,Yes
102457,Female,30-50,Yes,6,No
102458,Female,>50,Yes,15,No
102459,Female,30-50,Yes,9,No
102460,Female,<30,Yes,12,No
102461,Female,30-50,Yes,14,Yes
102462,Female,>50,No,7,Yes
102463,Male,<30,Yes,13,No
102464,Female,<30,No,3,No
102465,Male,>50,Yes,8,No
102466,Female,30-50,Yes,9,Yes
102467,Male,<30,Yes,13,No
102468,Female,<30,Yes,5,Yes
102469,Female,>50,Yes,8,No
102470,Female,<30,No,4,No
102471,Female,30-50,Yes,13,Yes
102472,Female,30-50,Yes,7,Yes
102473,Male,>50,Yes,12,No
102474,Male,30-50,No,6,No
102475,Female,30-50,Yes,10,Yes
102476,Female,30-50,No,4,No
102477,Female,<30,Yes,14,Yes
102478,Female,30-50,Yes,8,Yes
102479,Male,<30,No,6,No
102480,Male,>50,No,7,No
102481,Male,>50,Yes,5,No
102482,Female,30-50,Yes,14,No
102483,Male,<30,Yes,13,Yes
102484,Female,<30,Yes,13,Yes
102485,Female,30-50,Yes,5,Yes
102486,Female,30-50,Yes,14,Yes
102487,Male,>50,Yes,11,Yes
102488,Female,>50,No,3,Yes
102489,Male,30-50,No,6,No
102490,Female,30-50,Yes,12,Yes
102491,Female,30-50,No,3,No
102492,Female,30-50,Yes,15,Yes
102493,Female,>50,Yes,13,Yes
102494,Female,30-50,No,1,No
102495,Male,30-50,Yes,15,Yes
102496,Female,30-50,Yes,15,Yes
102497,Female,30-50,Yes,15,No
102498,Female,30-50,Yes,14,No
102499,Male,>50,Yes,13,No
102500,Female,<30,Yes,13,Yes
102501,Male,30-50,No,2,No
102502,Female,30-50,No,3,No
102503,Male,30-50,Yes,12,No
102504,Female,30-50,Yes,5,No
102505,Female,<30,No,5,No
102506,Female,30-50,Yes,5,Yes
102507,Female,30-50,Yes,11,Yes
102508,Female,30-50,No,1,No
102509,Female,30-50,Yes,14,No
102510,Male,<30,Yes,15,No
102511,Male,30-50,No,2,No
102512,Female,30-50,Yes,13,Yes
102513,Female,30-50,No,7,Yes
102514,Male,30-50,Yes,7,No
102515,Female,30-50,Yes,6,Yes
102516,Male,<30,No,3,No
102517,Male,30-50,No,1,No
102518,Female,<30,Yes,12,Yes
102519,Female,30-50,No,3,Yes
102520,Female,30-50,No,7,No
102521,Female,30-50,Yes,6,Yes
102522,Male,30-50,Yes,12,No
102523,Female,30-50,No,3,No
102524,Male,<30,Yes,9,No
102525,Female,<30,No,1,No
102526,Female,30-50,Yes,10,No
102527,Female,>50,No,2,No
102528,Female,>50,No,5,No
102529,Female,<30,No,2,No
102530,Female,>50,Yes,6,No
102531,Female,<30,Yes,5,No
102532,Female,<30,Yes,7,Yes
102533,Female,<30,Yes,14,No
102534,Male,>50,Yes,10,No
102535,Female,>50,No,5,No
102536,Male,30-50,Yes,11,No
102537,Male,30-50,No,4,No
102538,Male,30-50,Yes,6,Yes
102539,Female,>50,Yes,8,No
102540,Female,<30,Yes,5,No
102541,Female,30-50,Yes,13,Yes
102542,Female,30-50,Yes,11,Yes
102543,Male,>50,Yes,7,Yes
102544,Female,>50,No,2,No
102545,Male,30-50,No,4,No
102546,Female,>50,Yes,14,No
102547,Male,30-50,Yes,10,Yes
102548,Male,30-50,No,3,No
102549,Male,<30,No,4,No
102550,Female,<30,Yes,9,No
102551,Male,<30,Yes,9,No
102552,Female,30-50,No,5,Yes
102553,Male,30-50,Yes,5,Yes
102554,Male,<30,Yes,6,No
102555,Female,>50,No,3,No
102556,Female,<30,No,1,No
102557,Female,30-50,Yes,14,Yes
102558,Male,30-50,No,7,No
102559,Female,30-50,No,6,Yes
102560,Male,>50,No,7,No
102561,Female,30-50,No,7,No
102562,Female,30-50,Yes,5,No
102563,Female,30-50,Yes,6,No
102564,Male,>50,No,1,No
102565,Male,<30,Yes,15,Yes
102566,Female,30-50,Yes,13,Yes
102567,Female,<30,Yes,5,No
102568,Female,30-50,No,5,Yes
102569,Female,>50,No,4,No
102570,Female,30-50,Yes,15,Yes
102571,Male,30-50,Yes,11,No
102572,Male,<30,Yes,14,Yes
102573,Female,<30,Yes,14,No
102574,Male,30-50,No,5,No
102575,Male,30-50,Yes,5,Yes
102576,Male,30-50,Yes,15,No
102577,Male,<30,No,2,No
102578,Male,<30,Yes,12,Yes
102579,Female,<30,Yes,13,Yes
102580,Female,<30,Yes,11,Yes
102581,Female,>50,No,2,No
102582,Male,<30,Yes,8,No
102583,Female,<30,Yes,6,Yes
102584,Male,<30,Yes,12,No
102585,Female,30-50,No,6,No
102586,Male,30-50,Yes,11,No
102587,Female,30-50,Yes,5,No
102588,Male,30-50,No,2,No
102589,Female,<30,No,3,No
102590,Male,30-50,Yes,12,No
102591,Female,<30,No,1,No
102592,Male,30-50,Yes,5,No
102593,Female,30-50,No,4,Yes
102594,Male,30-50,Yes,12,No
102595,Male,30-50,No,7,Yes
102596,Male,30-50,Yes,15,No
102597,Female,30-50,No,7,Yes
102598,Female,<30,Yes,13,Yes
102599,Female,>50,No,3,No
102600,Male,30-50,Yes,7,No
102601,Male,>50,Yes,13,Yes
102602,Male,<30,Yes,12,Yes
102603,Female,<30,Yes,6,No
102604,Male,>50,No,1,No
102605,Female,>50,No,3,No
102606,Male,>50,Yes,5,Yes
102607,Female,<30,No,4,No
102608,Female,30-50,No,3,Yes
102609,Female,30-50,No,1,Yes
102610,Male,30-50,Yes,12,Yes
102611,Female,<30,No,7,Yes
102612,Female,>50,No,2,No
102613,Female,30-50,Yes,9,Yes
102614,Male,30-50,No,2,No
102615,Female,<30,Yes,7,No
102616,Male,>50,Yes,5,No
102617,Female,<30,No,5,No
102618,Male,30-50,Yes,5,Yes
102619,Female,30-50,Yes,13,Yes
102620,Female,>50,No,7,No
102621,Female,30-50,Yes,8,Yes
102622,Male,<30,No,4,No
102623,Female,>50,Yes,14,Yes
102624,Female,30-50,No,5,No
102625,Female,<30,Yes,9,No
102626,Female,<30,No,5,No
102627,Female,30-50,No,1,No
102628,Female,30-50,Yes,12,Yes
102629,Female,<30,No,4,Yes
102630,Female,30-50,Yes,13,Yes
102631,Male,<30,No,5,No
102632,Female,30-50,Yes,9,Yes
102633,Male,30-50,Yes,14,No
102634,Male,30-50,No,1,No
102635,Female,<30,Yes,14,No
102636,Female,30-50,No,1,No
102637,Male,>50,No,1,No
102638,Female,>50,Yes,10,No
102639,Male,30-50,Yes,10,No
102640,Male,30-50,Yes,15,No
102641,Female,30-50,Yes,14,No
102642,Male,<30,Yes,5,No
102643,Female,30-50,Yes,6,No
102644,Female,30-50,No,5,Yes
102645,Female,>50,Yes,8,Yes
102646,Male,>50,No,6,No
102647,Female,>50,No,2,No
102648,Male,<30,No,4,No
102649,Female,>50,Yes,15,Yes
102650,Male,30-50,Yes,13,No
102651,Female,30-50,No,6,Yes
102652,Female,<30,Yes,6,Yes
102653,Female,<30,Yes,15,Yes
102654,Female,30-50,Yes,12,No
102655,Male,>50,Yes,11,Yes
102656,Male,30-50,No,3,No
102657,Female,<30,Yes,14,No
102658,Male,>50,Yes,10,No
102659,Female,30-50,Yes,8,Yes
102660,Female,>50,Yes,5,No
102661,Male,30-50,No,2,Yes
102662,Female,>50,Yes,5,Yes
102663,Female,30-50,Yes,12,No
102664,Female,<30,Yes,11,No
102665,Male,30-50,No,3,No
102666,Male,<30,Yes,14,No
102667,Female,>50,Yes,12,No
102668,Female,<30,No,1,No
102669,Male,>50,Yes,8,No
102670,Female,30-50,Yes,6,No
102671,Female,>50,No,4,No
102672,Female,30-50,No,6,No
102673,Female,30-50,No,4,No
102674,Female,<30,No,2,No
102675,Male,<30,Yes,13,Yes
102676,Female,30-50,Yes,13,Yes
102677,Female,>50,Yes,11,Yes
102678,Female,30-50,No,2,No
102679,Female,30-50,Yes,14,Yes
102680,Female,30-50,Yes,5,No
102681,Male,30-50,No,1,No
102682,Female,30-50,No,6,No
102683,Male,>50,No,1,No
102684,Female,30-50,Yes,9,Yes
102685,Male,30-50,Yes,5,Yes
102686,Female,30-50,Yes,7,No
102687,Female,30-50,No,5,Yes
102688,Female,30-50,Yes,13,No
102689,Female,30-50,Yes,10,No
102690,Female,<30,Yes,8,Yes
102691,Female,30-50,Yes,14,No
102692,Female,<30,No,6,No
102693,Female,<30,No,1,No
102694,Female,>50,Yes,12,Yes
102695,Male,30-50,No,4,No
102696,Male,30-50,No,5,No
102697,Female,30-50,No,6,No
102698,Female,30-50,Yes,10,Yes
102699,Male,<30,No,2,Yes
102700,Male,>50,Yes,15,Yes
102701,Male,30-50,Yes,13,Yes
102702,Female,<30,Yes,12,No
102703,Male,>50,Yes,14,No
102704,Male,30-50,No,7,No
102705,Male,>50,No,6,Yes
102706,Female,>50,Yes,15,No
102707,Female,30-50,No,6,No
102708,Male,<30,Yes,8,No
102709,Female,30-50,Yes,7,No
102710,Female,30-50,Yes,6,Yes
102711,Female,30-50,Yes,15,Yes
102712,Female,>50,Yes,15,Yes
102713,Female,<30,Yes,9,No
102714,Male,30-50,Yes,13,Yes
102715,Female,<30,Yes,12,No
102716,Female,30-50,Yes,9,Yes
102717,Female,>50,No,3,Yes
102718,Female,30-50,No,4,No
102719,Female,>50,Yes,15,Yes
102720,Female,<30,Yes,15,Yes
102721,Male,30-50,No,3,No
102722,Male,30-50,No,7,No
102723,Female,>50,No,6,No
102724,Female,30-50,Yes,15,No
102725,Female,<30,No,1,No
102726,Male,<30,No,2,No
102727,Female,30-50,Yes,14,Yes
102728,Male,30-50,Yes,5,No
102729,Female,30-50,Yes,7,No
102730,Female,>50,Yes,12,No
102731,Male,30-50,Yes,15,Yes
102732,Female,>50,No,7,No
102733,Male,30-50,Yes,9,Yes
102734,Male,<30,Yes,5,No
102735,Male,30-50,Yes,8,No
102736,Female,30-50,Yes,10,No
102737,Female,30-50,Yes,6,No
102738,Female,30-50,No,4,No
102739,Male,<30,Yes,9,No
102740,Male,30-50,Yes,12,No
102741,Female,>50,Yes,11,No
102742,Male,30-50,No,1,No
102743,Female,30-50,No,6,Yes
102744,Female,30-50,Yes,12,Yes
102745,Female,>50,Yes,10,No
102746,Female,>50,Yes,13,No
102747,Female,30-50,Yes,5,Yes
102748,Female,>50,No,4,Yes
102749,Female,30-50,No,4,No
102750,Female,<30,Yes,9,Yes
102751,Female,30-50,Yes,6,No
102752,Female,>50,No,6,Yes
102753,Male,30-50,Yes,6,Yes
102754,Male,30-50,Yes,12,No
102755,Female,<30,Yes,15,Yes
102756,Female,<30,Yes,7,No
102757,Male,30-50,No,6,No
102758,Female,>50,Yes,14,Yes
102759,Female,30-50,Yes,5,No
102760,Male,30-50,Yes,10,Yes
102761,Female,<30,Yes,10,No
102762,Female,>50,Yes,15,Yes
102763,Male,<30,Yes,6,No
102764,Female,30-50,Yes,14,Yes
102765,Male,30-50,No,6,Yes
102766,Male,30-50,No,5,Yes
102767,Female,30-50,Yes,13,Yes
102768,Female,>50,No,7,Yes
102769,Male,30-50,No,1,No
102770,Female,30-50,Yes,9,No
102771,Female,30-50,No,5,No
102772,Female,>50,Yes,9,No
102773,Female,>50,Yes,11,No
102774,Female,>50,No,1,No
102775,Female,>50,Yes,10,Yes
102776,Female,>50,No,4,No
102777,Male,<30,No,4,No
102778,Male,30-50,Yes,14,No
102779,Male,30-50,Yes,7,No
102780,Female,30-50,No,1,No
102781,Female,>50,No,6,Yes
102782,Female,30-50,No,5,Yes
102783,Female,30-50,No,6,Yes
102784,Male,<30,No,6,No
102785,Female,30-50,Yes,11,No
102786,Female,30-50,No,2,Yes
102787,Female,30-50,Yes,13,Yes
102788,Female,30-50,No,3,No
102789,Male,<30,Yes,10,No
102790,Female,>50,No,6,No
102791,Male,>50,No,6,No
102792,Male,30-50,Yes,9,Yes
102793,Female,30-50,Yes,5,No
102794,Male,30-50,Yes,6,No
102795,Female,30-50,Yes,15,Yes
102796,Male,>50,Yes,5,No
102797,Female,30-50,No,7,No
102798,Male,30-50,Yes,12,Yes
102799,Female,<30,Yes,7,Yes
102800,Male,>50,No,1,No
102801,Female,30-50,Yes,5,Yes
102802,Female,30-50,Yes,6,No
102803,Female,30-50,Yes,6,No
102804,Female,>50,Yes,15,No
102805,Male,>50,No,2,No
102806,Female,30-50,Yes,9,Yes
102807,Male,30-50,Yes,5,No
102808,Female,<30,Yes,13,Yes
102809,Female,30-50,No,6,No
102810,Female,30-50,Yes,9,Yes
102811,Female,<30,No,2,No
102812,Male,>50,No,7,Yes
102813,Female,30-50,No,2,No
102814,Female,<30,No,7,No
102815,Female,>50,No,4,No
102816,Male,30-50,No,5,No
102817,Female,30-50,Yes,11,Yes
102818,Male,30-50,Yes,10,Yes
102819,Female,30-50,Yes,7,Yes
102820,Female,30-50,No,5,No
102821,Female,>50,No,6,No
102822,Female,>50,No,3,No
102823,Female,<30,No,6,No
102824,Male,30-50,No,6,Yes
102825,Female,>50,Yes,14,No
102826,Female,30-50,Yes,14,Yes
102827,Female,30-50,Yes,11,Yes
102828,Female,30-50,Yes,9,Yes
102829,Female,30-50,Yes,7,Yes
102830,Male,>50,Yes,7,No
102831,Male,<30,Yes,5,Yes
102832,Male,>50,Yes,6,No
102833,Female,30-50,Yes,6,Yes
102834,Male,<30,No,5,No
102835,Female,>50,No,6,No
102836,Male,30-50,No,7,No
102837,Female,<30,Yes,8,No
102838,Female,30-50,Yes,8,No
102839,Female,30-50,Yes,5,No
102840,Female,<30,Yes,15,Yes
102841,Male,<30,Yes,14,No
102842,Male,30-50,Yes,15,No
102843,Male,>50,Yes,9,No
102844,Female,>50,Yes,6,Yes
102845,Female,30-50,Yes,8,No
102846,Female,>50,No,5,Yes
102847,Male,>50,Yes,11,No
102848,Female,<30,Yes,7,No
102849,Female,30-50,Yes,11,Yes
102850,Male,>50,Yes,8,No
102851,Female,>50,No,3,No
102852,Female,30-50,No,2,Yes
102853,Male,30-50,No,2,No
102854,Male,30-50,Yes,7,No
102855,Female,>50,No,1,No
102856,Female,>50,No,1,No
102857,Male,<30,Yes,14,Yes
102858,Female,30-50,Yes,11,Yes
102859,Female,30-50,Yes,15,Yes
102860,Male,30-50,No,1,No
102861,Female,30-50,Yes,9,Yes
102862,Male,30-50,Yes,7,No
102863,Male,>50,No,6,No
102864,Male,<30,Yes,5,No
102865,Female,30-50,No,4,Yes
102866,Male,30-50,Yes,10,No
102867,Female,30-50,Yes,6,Yes
102868,Male,>50,Yes,7,No
102869,Male,30-50,Yes,8,Yes
102870,Female,<30,Yes,7,No
102871,Male,30-50,No,6,No
102872,Female,>50,No,1,No
102873,Female,30-50,Yes,12,Yes
102874,Male,30-50,No,5,Yes
102875,Female,30-50,Yes,7,Yes
102876,Female,<30,No,7,No
102877,Female,30-50,Yes,15,Yes
102878,Male,<30,Yes,12,Yes
102879,Female,<30,Yes,13,No
102880,Male,30-50,No,4,No
102881,Female,30-50,Yes,13,Yes
102882,Male,<30,Yes,7,No
102883,Female,30-50,No,5,No
102884,Female,<30,No,7,No
102885,Female,>50,Yes,12,Yes
102886,Female,>50,Yes,9,Yes
102887,Male,>50,No,1,No
102888,Male,30-50,No,3,Yes
102889,Female,<30,No,2,No
102890,Female,>50,Yes,11,No
102891,Female,>50,No,7,No
102892,Female,30-50,Yes,7,No
102893,Male,<30,Yes,15,No
102894,Female,<30,Yes,8,No
102895,Male,<30,Yes,14,Yes
102896,Female,<30,No,5,No
102897,Female,<30,Yes,13,Yes
102898,Female,<30,No,2,Yes
102899,Male,30-50,Yes,8,Yes
102900,Male,30-50,Yes,10,No
102901,Female,30-50,No,7,No
102902,Female,>50,Yes,7,No
102903,Male,30-50,Yes,10,Yes
102904,Male,30-50,No,6,No
102905,Female,30-50,Yes,14,Yes
102906,Male,30-50,Yes,12,No
102907,Female,30-50,Yes,10,Yes
102908,Female,>50,No,3,No
102909,Female,>50,Yes,15,Yes
102910,Male,<30,No,2,No
102911,Female,30-50,Yes,9,Yes
102912,Female,>50,Yes,11,Yes
102913,Male,>50,Yes,8,No
102914,Male,30-50,No,2,Yes
102915,Male,<30,No,1,No
102916,Female,30-50,Yes,8,Yes
102917,Female,>50,Yes,10,Yes
102918,Female,<30,Yes,10,No
102919,Female,<30,No,3,No
102920,Female,>50,Yes,8,Yes
102921,Male,<30,No,2,No
102922,Female,<30,No,4,No
102923,Female,30-50,Yes,13,No
102924,Female,30-50,Yes,12,No
102925,Female,>50,No,4,No
102926,Male,30-50,Yes,8,No
102927,Male,<30,Yes,5,Yes
102928,Female,30-50,No,1,No
102929,Female,30-50,Yes,13,No
102930,Female,>50,Yes,9,Yes
102931,Male,<30,No,4,No
102932,Female,<30,Yes,6,Yes
102933,Female,<30,No,4,No
102934,Female,<30,No,5,Yes
102935,Female,30-50,No,2,No
102936,Male,30-50,Yes,5,No
102937,Male,30-50,Yes,8,Yes
102938,Male,30-50,Yes,6,Yes
102939,Female,30-50,No,3,No
102940,Female,>50,Yes,15,Yes
102941,Female,30-50,Yes,13,No
102942,Female,<30,Yes,9,No
102943,Male,<30,Yes,6,No
102944,Female,<30,Yes,7,Yes
102945,Male,30-50,No,5,No
102946,Female,30-50,No,2,No
102947,Female,>50,Yes,14,No
102948,Female,<30,No,2,No
102949,Female,30-50,Yes,7,No
102950,Male,30-50,Yes,11,Yes
102951,Female,30-50,Yes,11,No
102952,Female,>50,Yes,7,Yes
102953,Male,30-50,Yes,10,Yes
102954,Female,<30,Yes,13,No
102955,Female,>50,Yes,12,No
102956,Female,>50,Yes,7,Yes
102957,Male,>50,Yes,15,No
102958,Female,30-50,Yes,11,No
102959,Male,30-50,Yes,8,Yes
102960,Female,30-50,Yes,5,No
102961,Male,<30,Yes,9,No
102962,Female,30-50,No,7,No
102963,Male,30-50,No,2,No
102964,Female,30-50,Yes,15,Yes
102965,Male,>50,Yes,13,No
102966,Female,<30,No,2,No
102967,Male,<30,Yes,9,Yes
102968,Female,30-50,Yes,10,No
102969,Female,<30,Yes,8,Yes
102970,Female,30-50,No,7,Yes
102971,Male,30-50,No,5,No
102972,Female,30-50,No,3,Yes
102973,Female,>50,Yes,8,Yes
102974,Female,30-50,Yes,10,Yes
102975,Female,<30,No,5,No
102976,Male,30-50,Yes,11,Yes
102977,Male,30-50,Yes,9,Yes
102978,Female,<30,Yes,15,Yes
102979,Male,<30,No,7,No
102980,Female,>50,Yes,9,Yes
102981,Female,>50,Yes,10,No
102982,Female,>50,No,4,Yes
102983,Female,>50,Yes,15,Yes
102984,Female,<30,Yes,12,No
102985,Female,<30,No,5,No
102986,Female,<30,Yes,8,No
102987,Male,30-50,Yes,10,Yes
102988,Male,30-50,No,1,Yes
102989,Female,30-50,No,6,No
102990,Male,>50,Yes,6,No
102991,Male,<30,No,5,No
102992,Female,<30,Yes,10,No
102993,Male,>50,Yes,8,Yes
102994,Female,<30,No,3,No
102995,Male,30-50,Yes,13,No
102996,Female,30-50,No,2,No
102997,Female,30-50,Yes,14,Yes
102998,Male,30-50,Yes,15,Yes
102999,Female,<30,No,3,No
103000,Female,30-50,Yes,13,No
103001,Female,>50,Yes,9,No
103002,Female,<30,Yes,14,No
103003,Male,>50,No,6,No
103004,Female,>50,Yes,6,Yes
103005,Female,<30,No,1,No
103006,Female,>50,No,4,Yes
103007,Female,<30,Yes,13,No
103008,Male,30-50,Yes,13,No
103009,Male,>50,No,4,No
103010,Female,30-50,Yes,13,No
103011,Female,>50,No,3,No
103012,Male,<30,Yes,5,No
103013,Male,30-50,Yes,10,No
103014,Female,>50,No,7,No
103015,Male,>50,Yes,9,No
103016,Male,30-50,No,5,No
103017,Female,30-50,Yes,5,Yes
103018,Female,30-50,Yes,13,Yes
103019,Female,30-50,Yes,14,No
103020,Female,30-50,Yes,14,Yes
103021,Male,<30,Yes,14,No
103022,Male,30-50,Yes,8,No
103023,Female,>50,No,3,Yes
103024,Female,<30,Yes,11,Yes
103025,Female,30-50,No,4,No
103026,Female,<30,Yes,14,Yes
103027,Female,30-50,Yes,9,Yes
103028,Female,30-50,Yes,10,No
103029,Female,<30,Yes,10,No
103030,Female,<30,Yes,12,Yes
103031,Male,30-50,Yes,5,No
103032,Male,30-50,No,6,No
103033,Female,30-50,No,1,No
103034,Female,30-50,Yes,9,Yes
103035,Female,<30,No,5,No
103036,Female,<30,No,3,No
103037,Male,>50,Yes,14,No
103038,Male,<30,Yes,12,Yes
103039,Female,30-50,Yes,5,Yes
103040,Male,30-50,Yes,14,No
103041,Male,30-50,No,7,Yes
103042,Female,30-50,Yes,15,No
103043,Male,>50,Yes,6,No
103044,Male,30-50,Yes,10,Yes
103045,Female,<30,Yes,5,No
103046,Female,>50,Yes,12,Yes
103047,Male,30-50,Yes,8,No
103048,Female,<30,No,3,No
103049,Female,<30,No,3,Yes
103050,Female,>50,Yes,11,Yes
103051,Male,30-50,Yes,6,No
103052,Male,<30,Yes,5,No
103053,Male,30-50,No,6,No
103054,Male,>50,No,4,No
103055,Female,>50,Yes,12,Yes
103056,Female,<30,Yes,15,Yes
103057,Female,30-50,No,6,No
103058,Female,30-50,Yes,14,Yes
103059,Male,30-50,Yes,5,Yes
103060,Female,<30,Yes,5,No
103061,Female,>50,Yes,13,Yes
103062,Male,30-50,No,3,Yes
103063,Female,30-50,Yes,14,No
103064,Female,30-50,No,7,Yes
103065,Female,<30,Yes,12,Yes
